Código Produto,Nome Produto,Marca,Modelo,Tipo,Indice,Tratamento,Antireflexo,Variação Antireflexo
LSA0001247,VS CR-39 COLOR PADRÃO TOTAL 76 mm,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0002045,VS RAY BAN AMPLIFIED 1.59 VERDE G15 AR PRMM UV,RAY BAN,AMPLIFIED,VISÃO SIMPLES,1.59,,AR,
LSA0002051,VS RAY BAN AMPLIFIED 1.59 POL VERDE G15 AR PRMM UV,RAY BAN,AMPLIFIED,VISÃO SIMPLES,1.59,,AR,
LSA0002056,VS RAY BAN AMPLIFIED 1.59 POL AZUL DGRD AR PRMM UV,RAY BAN,AMPLIFIED,VISÃO SIMPLES,1.59,,AR,
LSA0002057,VS RAY BAN AMPLIFIED 1.59 POL CNZ DGRD AR PRMM UV,RAY BAN,AMPLIFIED,VISÃO SIMPLES,1.59,,AR,
LSA0002061,PR RAY BAN EQUA 1.59 15 COLOR VERDE G15 AR PRMM UV,RAY BAN,EQUALIZED,PROGRESSIVA,1.59,,AR,
LSA0002062,PR RAY BAN EQUA 1.59 18 COLOR VERDE G15 AR PRMM UV,RAY BAN,EQUALIZED,PROGRESSIVA,1.59,,AR,
LSA0002074,PR RAY BAN EQUA 1.59 18 POL VERDE G15 AR PRMM UV,RAY BAN,EQUALIZED,PROGRESSIVA,1.59,,AR,
LSA0002083,PR RAY BAN EQUA 1.59 15 POL AZUL DGRD AR PRMM UV,RAY BAN,EQUALIZED,PROGRESSIVA,1.59,,AR,
LSA0002085,PR RAY BAN EQUA 1.59 15 POL CNZ DGRD AR PRMM UV,RAY BAN,EQUALIZED,PROGRESSIVA,1.59,,AR,
LSA0002634,VS CR-39 INC - CHAVE 1 ANTIRRISCO,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0002635,VS CR-39 INC - CHAVE 1 AR,CR-39,,VISÃO SIMPLES,1.50,,AR,
LSA0002636,VS CR-39 INC - CHAVE 2 ANTIRRISCO,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0002637,VS CR-39 INC - CHAVE 2 AR,CR-39,,VISÃO SIMPLES,1.50,,AR,
LSA0002638,VS CR-39 INC 76 mm ANTIRRISCO,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0002639,VS CR-39 INC 76 mm AR,CR-39,,VISÃO SIMPLES,1.50,,AR,
LSA0002640,VS CR-39 TRANS CNZ ANTIRRISCO,CR-39,,VISÃO SIMPLES,1.50,TRANSITIONS,ANTIRRISCO,
LSA0002641,VS CR-39 TRANS CNZ AR,CR-39,,VISÃO SIMPLES,1.50,TRANSITIONS,AR,
