Código Produto,Nome Produto,Marca,Modelo,Esférico,Cilíndrico,Eixo
390279,LENTES CNT ACUVUE OASYS AST -1.50 -0.75/80(8.6),ACUVUE,OASYS AST,-1.50,-0.75,80
177884,LENTES CNT ACUVUE OASYS AST -0.25 -2.25/10(8.6),ACUVUE,OASYS AST,-0.25,-2.25,10
89230,"LENTES CNT ACUVUE 2 -1,75 8.7",ACUVUE,2,-1.75,,
178191,LENTES CNT ACUVUE OASYS AST -4.00 -0.75/160(8.6),ACUVUE,OASYS AST,-4.00,-0.75,160
426294,LENTES CNT ACUVUE OASYS AST -3.50 -0.75/30(8.6),ACUVUE,OASYS AST,-3.50,-0.75,30
177565,LENTES CNT ACUVUE OASYS AST -2.25 -1.25/180(8.6),ACUVUE,OASYS AST,-2.25,-1.25,180
178105,LENTES CNT ACUVUE OASYS AST -2.50 -2.25/10(8.6),ACUVUE,OASYS AST,-2.50,-2.25,10
174444,LENTES CNT ACUVUE OASYS AST -3.25 -0.75/180(8.6),ACUVUE,OASYS AST,-3.25,-0.75,180
425003,LENTES CNT ACUVUE OASYS AST -9.00 -0.75/10(8.6),ACUVUE,OASYS AST,-9.00,-0.75,10
324449,LENTES CNT ACUVUE OASYS AST -5.00 -0.75/10(8.6),ACUVUE,OASYS AST,-5.00,-0.75,10
178181,LENTES CNT ACUVUE OASYS AST -3.75 -0.75/170(8.6),ACUVUE,OASYS AST,-3.75,-0.75,170
551939,LENTES CNT 1-D OASYS -3.25 8.5,ACUVUE,OASYS 1 DAY,-3.25,,
177934,LENTES CNT ACUVUE OASYS AST -0.75 -2.25/180(8.6),ACUVUE,OASYS AST,-0.75,-2.25,180
177963,LENTES CNT ACUVUE OASYS AST -1.00 -2.25/180(8.6),ACUVUE,OASYS AST,-1.00,-2.25,180
396218,LENTES CNT ACUVUE OASYS AST +0.00 -2.75/170(8.6),ACUVUE,OASYS AST,+0.00,-2.75,170
178142,LENTES CNT ACUVUE OASYS AST -3.00 -2.25/160(8.6),ACUVUE,OASYS AST,-3.00,-2.25,160
660767,LENTES CNT 1 DAY MOIST AST 1DMA -3.75 -1.25/150,ACUVUE,OASYS 1 DAY MOIST AST,-3.75,-1.25,150
326665,LENTES CNT 1 DAY MOIST AST 1DMA -6.50-0.75/180 (8.,ACUVUE,OASYS 1 DAY MOIST AST,-6.50,-0.75,180
178069,LENTES CNT ACUVUE OASYS AST -2.25 -0.75/180(8.6),ACUVUE,OASYS AST,-2.25,-0.75,180
174448,LENTES CNT ACUVUE OASYS AST +2.50 -0.75/180(8.6),ACUVUE,OASYS AST,+2.50,-0.75,180
318148,LENTES CNT 1 DAY MOIST AST 1DMA -1.75-1.25/80 (8.5,ACUVUE,OASYS 1 DAY MOIST AST,-1.75,-1.25,80
427194,LENTES CNT ACUVUE OASYS AST -7.00 -0.75/20(8.6),ACUVUE,OASYS AST,-7.00,-0.75,20
372095,LENTES CNT ACUVUE OASYS AST -7.50 -1.25/180(8.6),ACUVUE,OASYS AST,-7.50,-1.25,180
426749,LENTES CNT ACUVUE OASYS AST -5.00 -2.25/120(8.6),ACUVUE,OASYS AST,-5.00,-2.25,120
178031,LENTES CNT ACUVUE OASYS AST -1.75 -2.25/10(8.6),ACUVUE,OASYS AST,-1.75,-2.25,10
178027,LENTES CNT ACUVUE OASYS AST -1.75 -1.75/10(8.6),ACUVUE,OASYS AST,-1.75,-1.75,10
395583,LENTES CNT ACUVUE OASYS AST -2.75 -0.00/10 8.6,ACUVUE,OASYS AST,-2.75,-0.00,10
89237,"LENTES CNT ACUVUE 2 -3,50 8.7",ACUVUE,2,-3.50,,
345142,LENTES CNT ACUVUE OASYS AST -2.25 -0.75/70(8.6),ACUVUE,OASYS AST,-2.25,-0.75,70
395105,LENTES CNT ACUVUE OASYS AST -5.00 -2.75/10(8.6),ACUVUE,OASYS AST,-5.00,-2.75,10
290737,LENTES CNT ACUVUE OASYS AST -5.50 -1.25/180(8.6),ACUVUE,OASYS AST,-5.50,-1.25,180
175795,LENTES CNT ACUVUE OASYS AST -4.50 -2.25/180 8.6,ACUVUE,OASYS AST,-4.50,-2.25,180
426542,LENTES CNT ACUVUE OASYS AST -4.50 -2.75/180(8.6),ACUVUE,OASYS AST,-4.50,-2.75,180
178074,LENTES CNT ACUVUE OASYS AST -2.25 -1.25/10(8.6),ACUVUE,OASYS AST,-2.25,-1.25,10
